fungicide,experiment,isolate,rep,dose,length_mm
mefenoxam,1,2,1,0.5,0.38
mefenoxam,1,2,2,0.5,0.14
mefenoxam,1,2,3,0.5,0.46
mefenoxam,1,2,1,1,0.08
mefenoxam,1,2,2,1,0.12
mefenoxam,1,2,3,1,0.06
mefenoxam,1,2,1,10,0
mefenoxam,1,2,2,10,0
mefenoxam,1,2,3,10,0
mefenoxam,1,3,1,0,24.53
mefenoxam,1,3,2,0,22.27
mefenoxam,1,3,3,0,27.32
mefenoxam,1,3,1,0.1,0.91
mefenoxam,1,3,2,0.1,1.35
mefenoxam,1,3,3,0.1,1.3
mefenoxam,1,3,1,0.5,0.27
mefenoxam,1,3,2,0.5,0.09
mefenoxam,1,3,3,0.5,0.15
mefenoxam,1,3,1,1,0.12
mefenoxam,1,3,2,1,0
mefenoxam,1,3,3,1,0
mefenoxam,1,3,1,10,0
mefenoxam,1,3,2,10,0
mefenoxam,1,3,3,10,0
mefenoxam,1,4,1,0,9.34
mefenoxam,1,4,2,0,11.07
mefenoxam,1,4,3,0,12.3
mefenoxam,1,4,1,0.1,1.99
mefenoxam,1,4,2,0.1,1.76
mefenoxam,1,4,3,0.1,2.36
mefenoxam,1,4,1,0.5,1.19
mefenoxam,1,4,2,0.5,1.5
mefenoxam,1,4,3,0.5,1.15
mefenoxam,1,4,1,1,1.02
mefenoxam,1,4,2,1,0.77
mefenoxam,1,4,3,1,0.38
mefenoxam,1,4,1,10,0.13
mefenoxam,1,4,2,10,0.52
mefenoxam,1,4,3,10,0.25
mefenoxam,1,5,1,0,12.11
mefenoxam,1,5,2,0,14.32
mefenoxam,1,5,3,0,12.96
mefenoxam,1,5,1,0.1,4.31
mefenoxam,1,5,2,0.1,3.43
mefenoxam,1,5,3,0.1,3.76
mefenoxam,1,5,1,0.5,2.03
mefenoxam,1,5,2,0.5,1.21
mefenoxam,1,5,3,0.5,1.41
mefenoxam,1,5,1,1,1.77
mefenoxam,1,5,2,1,0.71
mefenoxam,1,5,3,1,1.51
mefenoxam,1,5,1,10,0.55
mefenoxam,1,5,2,10,0.37
mefenoxam,1,5,3,10,0.8
mefenoxam,1,6,1,0,12.45
mefenoxam,1,6,2,0,15.27
mefenoxam,1,6,3,0,15.93
mefenoxam,1,6,1,0.1,3.98
mefenoxam,1,6,2,0.1,4.31
mefenoxam,1,6,3,0.1,3.01
mefenoxam,1,6,1,0.5,2.08
mefenoxam,1,6,2,0.5,1.34
mefenoxam,1,6,3,0.5,0.89
mefenoxam,1,6,1,1,1.34
mefenoxam,1,6,2,1,1.08
mefenoxam,1,6,3,1,0.58
mefenoxam,1,6,1,10,0.26
mefenoxam,1,6,2,10,0.41
mefenoxam,1,6,3,10,0.22
mefenoxam,1,7,1,0,14.52
mefenoxam,1,7,2,0,13.84
mefenoxam,1,7,3,0,16.04
mefenoxam,1,7,1,0.1,2.19
mefenoxam,1,7,2,0.1,3.81
mefenoxam,1,7,3,0.1,13.3
mefenoxam,1,7,1,0.5,0.17
mefenoxam,1,7,2,0.5,0.79
mefenoxam,1,7,3,0.5,0.93
mefenoxam,1,7,1,1,0.15
mefenoxam,1,7,2,1,0.23
mefenoxam,1,7,3,1,0.15
mefenoxam,1,7,1,10,0
mefenoxam,1,7,2,10,0
mefenoxam,1,7,3,10,0
mefenoxam,1,8,1,0,11.94
mefenoxam,1,8,2,0,13.16
mefenoxam,1,8,3,0,13.94
mefenoxam,1,8,1,0.1,3.44
mefenoxam,1,8,2,0.1,4.81
mefenoxam,1,8,3,0.1,2.16
mefenoxam,1,8,1,0.5,1.48
mefenoxam,1,8,2,0.5,0.81
mefenoxam,1,8,3,0.5,0.77
mefenoxam,1,8,1,1,0.63
mefenoxam,1,8,2,1,0.13
mefenoxam,1,8,3,1,0.12
mefenoxam,1,8,1,10,0.35
mefenoxam,1,8,2,10,0.27
mefenoxam,1,8,3,10,0.46
mefenoxam,1,9,1,0,10.63
mefenoxam,1,9,2,0,14.38
mefenoxam,1,9,3,0,14.62
mefenoxam,1,9,1,0.1,4.96
mefenoxam,1,9,2,0.1,3.34
mefenoxam,1,9,3,0.1,2.41
mefenoxam,1,9,1,0.5,1.54
mefenoxam,1,9,2,0.5,0.91
mefenoxam,1,9,3,0.5,1.92
mefenoxam,1,9,1,1,0.63
mefenoxam,1,9,2,1,0.66
mefenoxam,1,9,3,1,0.77
mefenoxam,1,9,1,10,0.23
mefenoxam,1,9,2,10,0.19
mefenoxam,1,9,3,10,0.53
mefenoxam,1,10,1,0,13.09
mefenoxam,1,10,2,0,15.8
mefenoxam,1,10,3,0,11.7
mefenoxam,1,10,1,0.1,4.04
mefenoxam,1,10,2,0.1,2.51
mefenoxam,1,10,3,0.1,2.91
mefenoxam,1,10,1,0.5,1.84
mefenoxam,1,10,2,0.5,1.2
mefenoxam,1,10,3,0.5,1.59
mefenoxam,1,10,1,1,0.68
mefenoxam,1,10,2,1,0.48
mefenoxam,1,10,3,1,0.4
mefenoxam,1,10,1,10,0.41
mefenoxam,1,10,2,10,0
mefenoxam,1,10,3,10,0
metalaxyl,1,1,1,0,35.24
metalaxyl,1,1,2,0,36.91
metalaxyl,1,1,1,0.1,14.88
metalaxyl,1,1,2,0.1,16.35
metalaxyl,1,1,1,0.5,5.2
metalaxyl,1,1,2,0.5,4.73
metalaxyl,1,1,1,1,2.96
metalaxyl,1,1,2,1,3.13
metalaxyl,1,1,1,10,0.11
metalaxyl,1,1,2,10,0.13
metalaxyl,1,2,1,0,36.23
metalaxyl,1,2,2,0,35.065
metalaxyl,1,2,1,0.1,19.59
metalaxyl,1,2,2,0.1,17.42
metalaxyl,1,2,1,0.5,4.14
metalaxyl,1,2,2,0.5,3.9
metalaxyl,1,2,1,1,3.03
metalaxyl,1,2,2,1,3.6
metalaxyl,1,2,1,10,0.23
metalaxyl,1,2,2,10,0.07
metalaxyl,1,3,1,0,34.24
metalaxyl,1,3,2,0,37.1
metalaxyl,1,3,1,0.1,16.59
metalaxyl,1,3,2,0.1,19.065
metalaxyl,1,3,1,0.5,4.47
metalaxyl,1,3,2,0.5,5.2
metalaxyl,1,3,1,1,2.88
metalaxyl,1,3,2,1,3.04
metalaxyl,1,3,1,10,0.14
metalaxyl,1,3,2,10,0.07
metalaxyl,1,4,1,0,26.57
metalaxyl,1,4,2,0,26.19
metalaxyl,1,4,1,0.1,12.03
metalaxyl,1,4,2,0.1,15.72
metalaxyl,1,4,1,0.5,1.8
metalaxyl,1,4,2,0.5,1.98
metalaxyl,1,4,1,1,1.65
metalaxyl,1,4,2,1,1.19
metalaxyl,1,4,1,10,0.81
metalaxyl,1,4,2,10,0.28
metalaxyl,1,5,1,0,25.015
metalaxyl,1,5,2,0,25.5
metalaxyl,1,5,1,0.1,12.27
metalaxyl,1,5,2,0.1,11.5
metalaxyl,1,5,1,0.5,3.065
metalaxyl,1,5,2,0.5,2.34
metalaxyl,1,5,1,1,1.4
metalaxyl,1,5,2,1,0.77
metalaxyl,1,5,1,10,0.38
metalaxyl,1,5,2,10,0.13
metalaxyl,1,6,1,0,26.08
metalaxyl,1,6,2,0,27.7
metalaxyl,1,6,1,0.1,8.74
metalaxyl,1,6,2,0.1,9.085
metalaxyl,1,6,1,0.5,3.2
metalaxyl,1,6,2,0.5,1.75
metalaxyl,1,6,1,1,1.95
metalaxyl,1,6,2,1,1.07
metalaxyl,1,6,1,10,0.21
metalaxyl,1,6,2,10,0.09
metalaxyl,1,7,1,0,27.42
metalaxyl,1,7,2,0,26.9
metalaxyl,1,7,1,0.1,27.42
metalaxyl,1,7,2,0.1,26.9
metalaxyl,1,7,1,0.5,1.16
metalaxyl,1,7,2,0.5,0.18
metalaxyl,1,7,1,1,0.56
metalaxyl,1,7,2,1,0.5
metalaxyl,1,7,1,10,0
metalaxyl,1,7,2,10,0.06
metalaxyl,1,10,1,0,26.91
metalaxyl,1,10,2,0,28.03
metalaxyl,1,10,1,0.1,10.52
metalaxyl,1,10,2,0.1,12.93
metalaxyl,1,10,1,0.5,1.03
metalaxyl,1,10,2,0.5,0.77
metalaxyl,1,10,1,1,0.69
metalaxyl,1,10,2,1,0.34
metalaxyl,1,10,1,10,0.3
metalaxyl,1,10,2,10,0.07
azoxystrobin,2,1,1,0,9.32
azoxystrobin,2,1,2,0,16.26
azoxystrobin,2,1,3,0,27.41
azoxystrobin,2,1,1,0.1,5.67
azoxystrobin,2,1,2,0.1,10
azoxystrobin,2,1,3,0.1,11.11
azoxystrobin,2,1,1,0.5,5.62
azoxystrobin,2,1,2,0.5,5.71
azoxystrobin,2,1,3,0.5,7.76
azoxystrobin,2,1,1,1,3.14
azoxystrobin,2,1,2,1,3.96
azoxystrobin,2,1,3,1,5.64
azoxystrobin,2,1,1,10,1.69
azoxystrobin,2,1,2,10,2.23
azoxystrobin,2,1,3,10,1.93
azoxystrobin,2,2,1,0,8.22
azoxystrobin,2,2,2,0,19.77
azoxystrobin,2,2,3,0,16.17
azoxystrobin,2,2,1,0.1,6.05
azoxystrobin,2,2,2,0.1,12.26
azoxystrobin,2,2,3,0.1,9.91
azoxystrobin,2,2,1,0.5,3.02
azoxystrobin,2,2,2,0.5,4.35
azoxystrobin,2,2,3,0.5,8.51
azoxystrobin,2,2,1,1,3.57
azoxystrobin,2,2,2,1,3.97
azoxystrobin,2,2,3,1,3.55
azoxystrobin,2,2,1,10,1.97
azoxystrobin,2,2,2,10,1.22
azoxystrobin,2,2,3,10,1.14
azoxystrobin,2,3,1,0,15.86
azoxystrobin,2,3,2,0,18.84
azoxystrobin,2,3,3,0,16.5
azoxystrobin,2,3,1,0.1,8.52
azoxystrobin,2,3,2,0.1,9.78
azoxystrobin,2,3,3,0.1,9.49
azoxystrobin,2,3,1,0.5,4.41
azoxystrobin,2,3,2,0.5,4.89
azoxystrobin,2,3,3,0.5,6.17
azoxystrobin,2,3,1,1,4.24
azoxystrobin,2,3,2,1,3.47
azoxystrobin,2,3,3,1,4.75
azoxystrobin,2,3,1,10,4.28
azoxystrobin,2,3,2,10,1.08
azoxystrobin,2,3,3,10,2.02
azoxystrobin,2,4,1,0,11.92
azoxystrobin,2,4,2,0,13.08
azoxystrobin,2,4,3,0,13.74
azoxystrobin,2,4,1,0.1,11.13
azoxystrobin,2,4,2,0.1,12.7
azoxystrobin,2,4,3,0.1,12.56
azoxystrobin,2,4,1,0.5,7.4
azoxystrobin,2,4,2,0.5,9.02
azoxystrobin,2,4,3,0.5,7.49
azoxystrobin,2,4,1,1,7.7
azoxystrobin,2,4,2,1,6.09
azoxystrobin,2,4,3,1,7.73
azoxystrobin,2,4,1,10,5.28
azoxystrobin,2,4,2,10,6.6
azoxystrobin,2,4,3,10,5.13
azoxystrobin,2,5,1,0,15.56
azoxystrobin,2,5,2,0,12.76
azoxystrobin,2,5,3,0,13.38
azoxystrobin,2,5,1,0.1,12.32
azoxystrobin,2,5,2,0.1,10.88
azoxystrobin,2,5,3,0.1,10.77
azoxystrobin,2,5,1,0.5,8.25
azoxystrobin,2,5,2,0.5,3.93
azoxystrobin,2,5,3,0.5,6.33
azoxystrobin,2,5,1,1,5.36
azoxystrobin,2,5,2,1,4.59
azoxystrobin,2,5,3,1,5.46
azoxystrobin,2,5,1,10,1.63
azoxystrobin,2,5,2,10,1.33
azoxystrobin,2,5,3,10,1.88
azoxystrobin,2,6,1,0,24.9
azoxystrobin,2,6,2,0,14.15
azoxystrobin,2,6,3,0,19
azoxystrobin,2,6,1,0.1,11.22
azoxystrobin,2,6,2,0.1,9.53
azoxystrobin,2,6,3,0.1,10.02
azoxystrobin,2,6,1,0.5,5.36
azoxystrobin,2,6,2,0.5,6.42
azoxystrobin,2,6,3,0.5,5.9
azoxystrobin,2,6,1,1,4.57
azoxystrobin,2,6,2,1,3.5
azoxystrobin,2,6,3,1,4.53
azoxystrobin,2,6,1,10,1.46
azoxystrobin,2,6,2,10,3.01
azoxystrobin,2,6,3,10,2.9
azoxystrobin,2,7,1,0,14.02
azoxystrobin,2,7,2,0,14.5
azoxystrobin,2,7,3,0,13.97
azoxystrobin,2,7,1,0.1,10.9
azoxystrobin,2,7,2,0.1,11.9
azoxystrobin,2,7,3,0.1,9.14
azoxystrobin,2,7,1,0.5,8.37
azoxystrobin,2,7,2,0.5,8.96
azoxystrobin,2,7,3,0.5,8.16
azoxystrobin,2,7,1,1,5.46
azoxystrobin,2,7,2,1,7.67
azoxystrobin,2,7,3,1,6.04
azoxystrobin,2,7,1,10,4.75
azoxystrobin,2,7,2,10,4.09
azoxystrobin,2,7,3,10,3.64
azoxystrobin,2,8,1,0,15.35
azoxystrobin,2,8,2,0,21.43
azoxystrobin,2,8,3,0,11.45
azoxystrobin,2,8,1,0.1,11.72
azoxystrobin,2,8,2,0.1,11.3
azoxystrobin,2,8,3,0.1,10.52
azoxystrobin,2,8,1,0.5,7.47
azoxystrobin,2,8,2,0.5,8.25
azoxystrobin,2,8,3,0.5,8.26
azoxystrobin,2,8,1,1,7.37
azoxystrobin,2,8,2,1,5.45
azoxystrobin,2,8,3,1,5.59
azoxystrobin,2,8,1,10,4.41
azoxystrobin,2,8,2,10,2.28
azoxystrobin,2,8,3,10,1.76
azoxystrobin,2,9,1,0,16.41
azoxystrobin,2,9,2,0,12.99
azoxystrobin,2,9,3,0,16
azoxystrobin,2,9,1,0.1,9.51
azoxystrobin,2,9,2,0.1,10.42
azoxystrobin,2,9,3,0.1,14.4
azoxystrobin,2,9,1,0.5,7.46
azoxystrobin,2,9,2,0.5,6.78
azoxystrobin,2,9,3,0.5,7
azoxystrobin,2,9,1,1,4.53
azoxystrobin,2,9,2,1,5.26
azoxystrobin,2,9,3,1,5.63
azoxystrobin,2,9,1,10,4.52
azoxystrobin,2,9,2,10,4.79
azoxystrobin,2,9,3,10,2.4
azoxystrobin,2,10,1,0,18.24
azoxystrobin,2,10,2,0,18.67
azoxystrobin,2,10,3,0,14.06
azoxystrobin,2,10,1,0.1,12.36
azoxystrobin,2,10,2,0.1,10.8
azoxystrobin,2,10,3,0.1,10.37
azoxystrobin,2,10,1,0.5,10.44
azoxystrobin,2,10,2,0.5,4.53
azoxystrobin,2,10,3,0.5,8.44
azoxystrobin,2,10,1,1,7.35
azoxystrobin,2,10,2,1,6.44
azoxystrobin,2,10,3,1,5.86
azoxystrobin,2,10,1,10,5.14
azoxystrobin,2,10,2,10,3.68
azoxystrobin,2,10,3,10,3.17
mefenoxam,2,1,1,0,25.88
mefenoxam,2,1,2,0,24.82
mefenoxam,2,1,3,0,26.2
mefenoxam,2,1,1,0.1,3.91
mefenoxam,2,1,2,0.1,3.86
mefenoxam,2,1,3,0.1,3.61
mefenoxam,2,1,1,0.5,1.11
mefenoxam,2,1,2,0.5,1.05
mefenoxam,2,1,3,0.5,0.75
mefenoxam,2,1,1,1,0.88
mefenoxam,2,1,2,1,0.73
mefenoxam,2,1,3,1,1.17
mefenoxam,2,1,1,10,0
mefenoxam,2,1,2,10,0.53
mefenoxam,2,1,3,10,0.72
mefenoxam,2,2,1,0,24.36
mefenoxam,2,2,2,0,18.85
mefenoxam,2,2,3,0,23.53
mefenoxam,2,2,1,0.1,3.02
mefenoxam,2,2,2,0.1,3.48
mefenoxam,2,2,3,0.1,4.07
mefenoxam,2,2,1,0.5,1.06
mefenoxam,2,2,2,0.5,0.69
mefenoxam,2,2,3,0.5,0.83
mefenoxam,2,2,1,1,0.81
mefenoxam,2,2,2,1,0.42
mefenoxam,2,2,3,1,0
mefenoxam,2,2,1,10,0.47
mefenoxam,2,2,2,10,0.26
mefenoxam,2,2,3,10,0
mefenoxam,2,3,1,0,23.34
mefenoxam,2,3,2,0,21.31
mefenoxam,2,3,3,0,22.49
mefenoxam,2,3,1,0.1,2.05
mefenoxam,2,3,2,0.1,3.57
mefenoxam,2,3,3,0.1,2.58
mefenoxam,2,3,1,0.5,0.48
mefenoxam,2,3,2,0.5,0.54
mefenoxam,2,3,3,0.5,0.87
mefenoxam,2,3,1,1,0.19
mefenoxam,2,3,2,1,0.34
mefenoxam,2,3,3,1,0.51
mefenoxam,2,3,1,10,0
mefenoxam,2,3,2,10,0.17
mefenoxam,2,3,3,10,0
mefenoxam,2,4,1,0,14.59
mefenoxam,2,4,2,0,11.7
mefenoxam,2,4,3,0,11.64
mefenoxam,2,4,1,0.1,4.29
mefenoxam,2,4,2,0.1,3.24
mefenoxam,2,4,3,0.1,5.88
mefenoxam,2,4,1,0.5,1.62
mefenoxam,2,4,2,0.5,0.6
mefenoxam,2,4,3,0.5,1.15
mefenoxam,2,4,1,1,0.91
mefenoxam,2,4,2,1,0.66
mefenoxam,2,4,3,1,0.82
mefenoxam,2,4,1,10,0
mefenoxam,2,4,2,10,0.43
mefenoxam,2,4,3,10,0.36
mefenoxam,2,5,1,0,15.72
mefenoxam,2,5,2,0,14.81
mefenoxam,2,5,3,0,14.31
mefenoxam,2,5,1,0.1,4.9
mefenoxam,2,5,2,0.1,8.04
mefenoxam,2,5,3,0.1,10.04
mefenoxam,2,5,1,0.5,1.94
mefenoxam,2,5,2,0.5,3.5
mefenoxam,2,5,3,0.5,1.74
mefenoxam,2,5,1,1,1.15
mefenoxam,2,5,2,1,1.46
mefenoxam,2,5,3,1,1.47
mefenoxam,2,5,1,10,0
mefenoxam,2,5,2,10,0.84
mefenoxam,2,5,3,10,0.83
mefenoxam,2,6,1,0,13.83
mefenoxam,2,6,2,0,14.25
mefenoxam,2,6,3,0,13.87
mefenoxam,2,6,1,0.1,3.06
mefenoxam,2,6,2,0.1,4.04
mefenoxam,2,6,3,0.1,8.82
mefenoxam,2,6,1,0.5,1.13
mefenoxam,2,6,2,0.5,0.8
mefenoxam,2,6,3,0.5,2.3
mefenoxam,2,6,1,1,1.05
mefenoxam,2,6,2,1,0.8
mefenoxam,2,6,3,1,1.27
mefenoxam,2,6,1,10,0.54
mefenoxam,2,6,2,10,0.47
mefenoxam,2,6,3,10,0.35
mefenoxam,2,7,1,0,20.43
mefenoxam,2,7,2,0,13.17
mefenoxam,2,7,3,0,12.01
mefenoxam,2,7,1,0.1,3.08
mefenoxam,2,7,2,0.1,4.4
mefenoxam,2,7,3,0.1,3.31
mefenoxam,2,7,1,0.5,0.78
mefenoxam,2,7,2,0.5,0.65
mefenoxam,2,7,3,0.5,0.66
mefenoxam,2,7,1,1,0.62
mefenoxam,2,7,2,1,0.39
mefenoxam,2,7,3,1,0.42
mefenoxam,2,7,1,10,0
mefenoxam,2,7,2,10,0
mefenoxam,2,7,3,10,0
mefenoxam,2,8,1,0,15
mefenoxam,2,8,2,0,11.7
mefenoxam,2,8,3,0,11.01
mefenoxam,2,8,1,0.1,3.28
mefenoxam,2,8,2,0.1,8.58
mefenoxam,2,8,3,0.1,5.83
mefenoxam,2,8,1,0.5,0.65
mefenoxam,2,8,2,0.5,0.58
mefenoxam,2,8,3,0.5,0.81
mefenoxam,2,8,1,1,0.53
mefenoxam,2,8,2,1,0.45
mefenoxam,2,8,3,1,0.52
mefenoxam,2,8,1,10,0
mefenoxam,2,8,2,10,0
mefenoxam,2,8,3,10,0
mefenoxam,2,9,1,0,17.23
mefenoxam,2,9,2,0,17.65
mefenoxam,2,9,3,0,20.36
mefenoxam,2,9,1,0.1,3.96
mefenoxam,2,9,2,0.1,7.3
mefenoxam,2,9,3,0.1,7.95
mefenoxam,2,9,1,0.5,3.2
mefenoxam,2,9,2,0.5,2.33
mefenoxam,2,9,3,0.5,3.06
mefenoxam,2,9,1,1,0
mefenoxam,2,9,2,1,2.3
mefenoxam,2,9,3,1,3.05
mefenoxam,2,9,1,10,0
mefenoxam,2,9,2,10,0.6
mefenoxam,2,9,3,10,2.22
mefenoxam,2,10,1,0,22.49
mefenoxam,2,10,2,0,17.38
mefenoxam,2,10,3,0,19.86
mefenoxam,2,10,1,0.1,5.59
mefenoxam,2,10,2,0.1,5.07
mefenoxam,2,10,3,0.1,6.62
mefenoxam,2,10,1,0.5,2.09
mefenoxam,2,10,2,0.5,1.9
mefenoxam,2,10,3,0.5,1.9
mefenoxam,2,10,1,1,1.74
mefenoxam,2,10,2,1,2.77
mefenoxam,2,10,3,1,1.39
mefenoxam,2,10,1,10,1.01
mefenoxam,2,10,2,10,0.65
mefenoxam,2,10,3,10,0
metalaxyl,2,1,1,0,26.5
metalaxyl,2,1,2,0,29.38
metalaxyl,2,1,3,0,28.83
metalaxyl,2,1,1,0.1,3.54
metalaxyl,2,1,2,0.1,3.41
metalaxyl,2,1,3,0.1,3.27
metalaxyl,2,1,1,0.5,0.49
metalaxyl,2,1,2,0.5,0.26
metalaxyl,2,1,3,0.5,0.65
metalaxyl,2,1,1,1,0.1
metalaxyl,2,1,2,1,0.12
metalaxyl,2,1,3,1,0.12
metalaxyl,2,1,1,10,0
